1,የማዕከሉ ዋና ዲን
2,የቴክኖሎጂ ልማትና ኢንኩቤሽን አገልግሎት
3,የቴክኖሎጂ ጥናትና ምርምር ክፍል
4,የቴክኖሎጂ ዲዛይን ዝግጅት ክፍል
5,የቴክኖሎጂ ፋብሪኬሽንና ሽግግር ክፍል
6,የኢንዱስትሪ ትስስር ኢንኩቤሽን አገልግሎት ክፍል
7,የተቋም ልማትና ኢንዱስትሪ ምክር አገልግሎት
8,የኢንዱስትሪ ምክር ማስተባባሪያ
9,ተቋም ማስፋፋትና ወርክሾፕ አስተዳደርና ግብዓት አቅርቦት ክፍል
10,ጠቅላላ አገልግሎት ቡድን
11,የመረጃ ስራ አመራር ክፍል
12,የአሰልጣኞችና የኢንዱስትሪ ባለሙያዎች ስልጠና
13,የሬጅስትራር ክፍል
14,ቤተ-መፃህፍት ክፍል
15,የአሰልጣኞች ክህሎት እና የሙያ ማሰልጠን ስነ-ዘዴ ስልጠና ዘርፍ
16,የሰው ኃብት አስተዳደር ዳይሬክቶሬት
17,ዕቅድና ዝግጅት ክትትልና ግምገማ ዳይሬክቶሬት
18,ኮሙኒኬሽን ስራዎች ክፍል
19,የውስጥ ኦዲት ዳይሬክቶሬት
20,የውስጥ ኦዲት ዳይሬክቶሬት
21,የፋይናንስ ዳይሬክቶሬት
22,የግዥ ዳይሬክቶሬት
23,የንብረትና ጠቅላላ አገልግሎት ዳይሬክቶሬት ሰራተኞች
24,ንብረት አስተዳደር ቡድን
25,የንብረትና ጠቅላላ አገልግሎት ዳይሬክቶሬት
26,የፋሲሊቲ አገልግሎት ቡድን
27,የህንፃ አስተዳደር እና ጥገና ዳይሬክቶሬት ሰራተኞች
28,የህንፃዎች አስተዳደር እና ጥገና አገልግሎት ቡድን
29,ኮምፒውተር ትምህርት ክፍል
30,ጋርመንት ትምህርት ክፍል
31,አውቶሞቲቭ ትምህርት ክፍል
32,ማኑፋክቸሪንግ ቴክኖሎጂ ትምህርት ክፍል
33,እንጨት ስራ ትምህርት ክፍል
34,ቆዳ ቴክኖሎጂ ትምህርት ክፍል
35,ብየዳ ትምህርት ክፍል
36,ኤሌክትሪክ ኤሌክትሪካል ትምህርት ክፍል
37,ኮንስትራክሽን ትምህርት ክፍል
38,የአሰልጣኞችና የኢንዱስትሪ ባለሙያዎች ስልጠና
